Question	Answer	Non-answer	Hint	Category
Technology Component	A technology building block. A generic infrastructure technology that supports and enables application or data components (directly or indirectly) by providing technology services.|An encapsulation of technology infrastructure that represents a class of technology product or specific technology product.	A statement of need that must be met by a particular architecture or work package.|An abstracted plan for business or technology change, typically operating across multiple disciplines over multiple years. Normally used in the phrases Technology Roadmap, Architecture Roadmap, etc.|The usual or expected function of an actor, or the part somebody or something plays in a particular action or event. An actor may have a number of roles.|The part an individual plays in an organization and the contribution they make through the application of their skills, knowledge, experience, and abilities.|A detailed, formal description of areas within an enterprise, used at the program or portfolio level to organize and align change activity.|A repeatable activity; a discrete behavior that a building block may be requested or otherwise triggered to perform.|Viewing an enterprise, system, or building block in terms of services provided and consumed.|See also 3.6 Architectural Style and 3.66 Service Orientation .|A collection of services, potentially an interface definition.|A description of a discrete and focused business operation or activity and how IS/IT supports that operation.|A candidate solution which conforms to the specification of an Architecture Building Block (ABB).|A part of the Enterprise Continuum. A repository of re-usable solutions for future implementation efforts. It contains implementations of the corresponding definitions in the Architecture Continuum.|An individual, team, organization, or class thereof, having an interest in a system.|A database of standards that can be used to define the particular services and other components of an Organization-Specific Architecture.|A summary formal description of the enterprise, providing an organizing framework for operational and change activity, and an executive-level, long-term view for direction setting.|The description of a future state of the architecture being developed for an organization.|The organized collection of all architecture views pertinent to an architecture.|A description of the structure and interaction of the technology services and technology components.|A technology building block. A generic infrastructure technology that supports and enables application or data components (directly or indirectly) by providing technology services.|An encapsulation of technology infrastructure that represents a class of technology product or specific technology product.|A technical capability required to provide enabling infrastructure that supports the delivery of applications.|A formal description of one state of the architecture at an architecturally significant point in time.|Where a view is "seen" from.|A representation of a system from the perspective of a related concern.|What is seen from a viewpoint|A representation of an end-to-end collection of value-adding activities that create an overall result for a customer, stakeholder, or end user.|A collection of the specifications of architecture viewpoints contained in the Reference Library portion of the Architecture Repository.|A set of actions identified to achieve one or more objectives for the business. A work package can be a part of a project, a complete project, or a program.		definition
Technology Service	A technical capability required to provide enabling infrastructure that supports the delivery of applications.	A statement of need that must be met by a particular architecture or work package.|An abstracted plan for business or technology change, typically operating across multiple disciplines over multiple years. Normally used in the phrases Technology Roadmap, Architecture Roadmap, etc.|The usual or expected function of an actor, or the part somebody or something plays in a particular action or event. An actor may have a number of roles.|The part an individual plays in an organization and the contribution they make through the application of their skills, knowledge, experience, and abilities.|A detailed, formal description of areas within an enterprise, used at the program or portfolio level to organize and align change activity.|A repeatable activity; a discrete behavior that a building block may be requested or otherwise triggered to perform.|Viewing an enterprise, system, or building block in terms of services provided and consumed.|See also 3.6 Architectural Style and 3.66 Service Orientation .|A collection of services, potentially an interface definition.|A description of a discrete and focused business operation or activity and how IS/IT supports that operation.|A candidate solution which conforms to the specification of an Architecture Building Block (ABB).|A part of the Enterprise Continuum. A repository of re-usable solutions for future implementation efforts. It contains implementations of the corresponding definitions in the Architecture Continuum.|An individual, team, organization, or class thereof, having an interest in a system.|A database of standards that can be used to define the particular services and other components of an Organization-Specific Architecture.|A summary formal description of the enterprise, providing an organizing framework for operational and change activity, and an executive-level, long-term view for direction setting.|The description of a future state of the architecture being developed for an organization.|The organized collection of all architecture views pertinent to an architecture.|A description of the structure and interaction of the technology services and technology components.|A technology building block. A generic infrastructure technology that supports and enables application or data components (directly or indirectly) by providing technology services.|An encapsulation of technology infrastructure that represents a class of technology product or specific technology product.|A technical capability required to provide enabling infrastructure that supports the delivery of applications.|A formal description of one state of the architecture at an architecturally significant point in time.|Where a view is "seen" from.|A representation of a system from the perspective of a related concern.|What is seen from a viewpoint|A representation of an end-to-end collection of value-adding activities that create an overall result for a customer, stakeholder, or end user.|A collection of the specifications of architecture viewpoints contained in the Reference Library portion of the Architecture Repository.|A set of actions identified to achieve one or more objectives for the business. A work package can be a part of a project, a complete project, or a program.		definition
Transition Architecture	A formal description of one state of the architecture at an architecturally significant point in time.	A statement of need that must be met by a particular architecture or work package.|An abstracted plan for business or technology change, typically operating across multiple disciplines over multiple years. Normally used in the phrases Technology Roadmap, Architecture Roadmap, etc.|The usual or expected function of an actor, or the part somebody or something plays in a particular action or event. An actor may have a number of roles.|The part an individual plays in an organization and the contribution they make through the application of their skills, knowledge, experience, and abilities.|A detailed, formal description of areas within an enterprise, used at the program or portfolio level to organize and align change activity.|A repeatable activity; a discrete behavior that a building block may be requested or otherwise triggered to perform.|Viewing an enterprise, system, or building block in terms of services provided and consumed.|See also 3.6 Architectural Style and 3.66 Service Orientation .|A collection of services, potentially an interface definition.|A description of a discrete and focused business operation or activity and how IS/IT supports that operation.|A candidate solution which conforms to the specification of an Architecture Building Block (ABB).|A part of the Enterprise Continuum. A repository of re-usable solutions for future implementation efforts. It contains implementations of the corresponding definitions in the Architecture Continuum.|An individual, team, organization, or class thereof, having an interest in a system.|A database of standards that can be used to define the particular services and other components of an Organization-Specific Architecture.|A summary formal description of the enterprise, providing an organizing framework for operational and change activity, and an executive-level, long-term view for direction setting.|The description of a future state of the architecture being developed for an organization.|The organized collection of all architecture views pertinent to an architecture.|A description of the structure and interaction of the technology services and technology components.|A technology building block. A generic infrastructure technology that supports and enables application or data components (directly or indirectly) by providing technology services.|An encapsulation of technology infrastructure that represents a class of technology product or specific technology product.|A technical capability required to provide enabling infrastructure that supports the delivery of applications.|A formal description of one state of the architecture at an architecturally significant point in time.|Where a view is "seen" from.|A representation of a system from the perspective of a related concern.|What is seen from a viewpoint|A representation of an end-to-end collection of value-adding activities that create an overall result for a customer, stakeholder, or end user.|A collection of the specifications of architecture viewpoints contained in the Reference Library portion of the Architecture Repository.|A set of actions identified to achieve one or more objectives for the business. A work package can be a part of a project, a complete project, or a program.		definition
View Point	Where a view is "seen" from.	is a representation of a system from the perspective of a related set of concerns.|is a representation of a subject of interest.|Where a view is "seen" from.|A representation of a system from the perspective of a related concern.|What is seen from a viewpoint|A representation of an end-to-end collection of value-adding activities that create an overall result for a customer, stakeholder, or end user.|A collection of the specifications of architecture viewpoints contained in the Reference Library portion of the Architecture Repository.|A set of actions identified to achieve one or more objectives for the business. A work package can be a part of a project, a complete project, or a program.		definition
view	A representation of a system from the perspective of a related concern.|What is seen from a viewpoint	A statement of need that must be met by a particular architecture or work package.|An abstracted plan for business or technology change, typically operating across multiple disciplines over multiple years. Normally used in the phrases Technology Roadmap, Architecture Roadmap, etc.|The usual or expected function of an actor, or the part somebody or something plays in a particular action or event. An actor may have a number of roles.|The part an individual plays in an organization and the contribution they make through the application of their skills, knowledge, experience, and abilities.|A detailed, formal description of areas within an enterprise, used at the program or portfolio level to organize and align change activity.|A repeatable activity; a discrete behavior that a building block may be requested or otherwise triggered to perform.|Viewing an enterprise, system, or building block in terms of services provided and consumed.|See also 3.6 Architectural Style and 3.66 Service Orientation .|A collection of services, potentially an interface definition.|A description of a discrete and focused business operation or activity and how IS/IT supports that operation.|A candidate solution which conforms to the specification of an Architecture Building Block (ABB).|A part of the Enterprise Continuum. A repository of re-usable solutions for future implementation efforts. It contains implementations of the corresponding definitions in the Architecture Continuum.|An individual, team, organization, or class thereof, having an interest in a system.|A database of standards that can be used to define the particular services and other components of an Organization-Specific Architecture.|A summary formal description of the enterprise, providing an organizing framework for operational and change activity, and an executive-level, long-term view for direction setting.|The description of a future state of the architecture being developed for an organization.|The organized collection of all architecture views pertinent to an architecture.|A description of the structure and interaction of the technology services and technology components.|A technology building block. A generic infrastructure technology that supports and enables application or data components (directly or indirectly) by providing technology services.|An encapsulation of technology infrastructure that represents a class of technology product or specific technology product.|A technical capability required to provide enabling infrastructure that supports the delivery of applications.|A formal description of one state of the architecture at an architecturally significant point in time.|Where a view is "seen" from.|A representation of a system from the perspective of a related concern.|What is seen from a viewpoint|A representation of an end-to-end collection of value-adding activities that create an overall result for a customer, stakeholder, or end user.|A collection of the specifications of architecture viewpoints contained in the Reference Library portion of the Architecture Repository.|A set of actions identified to achieve one or more objectives for the business. A work package can be a part of a project, a complete project, or a program.		definition
Value Stream	A representation of an end-to-end collection of value-adding activities that create an overall result for a customer, stakeholder, or end user.	A statement of need that must be met by a particular architecture or work package.|An abstracted plan for business or technology change, typically operating across multiple disciplines over multiple years. Normally used in the phrases Technology Roadmap, Architecture Roadmap, etc.|The usual or expected function of an actor, or the part somebody or something plays in a particular action or event. An actor may have a number of roles.|The part an individual plays in an organization and the contribution they make through the application of their skills, knowledge, experience, and abilities.|A detailed, formal description of areas within an enterprise, used at the program or portfolio level to organize and align change activity.|A repeatable activity; a discrete behavior that a building block may be requested or otherwise triggered to perform.|Viewing an enterprise, system, or building block in terms of services provided and consumed.|See also 3.6 Architectural Style and 3.66 Service Orientation .|A collection of services, potentially an interface definition.|A description of a discrete and focused business operation or activity and how IS/IT supports that operation.|A candidate solution which conforms to the specification of an Architecture Building Block (ABB).|A part of the Enterprise Continuum. A repository of re-usable solutions for future implementation efforts. It contains implementations of the corresponding definitions in the Architecture Continuum.|An individual, team, organization, or class thereof, having an interest in a system.|A database of standards that can be used to define the particular services and other components of an Organization-Specific Architecture.|A summary formal description of the enterprise, providing an organizing framework for operational and change activity, and an executive-level, long-term view for direction setting.|The description of a future state of the architecture being developed for an organization.|The organized collection of all architecture views pertinent to an architecture.|A description of the structure and interaction of the technology services and technology components.|A technology building block. A generic infrastructure technology that supports and enables application or data components (directly or indirectly) by providing technology services.|An encapsulation of technology infrastructure that represents a class of technology product or specific technology product.|A technical capability required to provide enabling infrastructure that supports the delivery of applications.|A formal description of one state of the architecture at an architecturally significant point in time.|Where a view is "seen" from.|A representation of a system from the perspective of a related concern.|What is seen from a viewpoint|A representation of an end-to-end collection of value-adding activities that create an overall result for a customer, stakeholder, or end user.|A collection of the specifications of architecture viewpoints contained in the Reference Library portion of the Architecture Repository.|A set of actions identified to achieve one or more objectives for the business. A work package can be a part of a project, a complete project, or a program.		definition
Viewpoint Library	A collection of the specifications of architecture viewpoints contained in the Reference Library portion of the Architecture Repository.	A statement of need that must be met by a particular architecture or work package.|An abstracted plan for business or technology change, typically operating across multiple disciplines over multiple years. Normally used in the phrases Technology Roadmap, Architecture Roadmap, etc.|The usual or expected function of an actor, or the part somebody or something plays in a particular action or event. An actor may have a number of roles.|The part an individual plays in an organization and the contribution they make through the application of their skills, knowledge, experience, and abilities.|A detailed, formal description of areas within an enterprise, used at the program or portfolio level to organize and align change activity.|A repeatable activity; a discrete behavior that a building block may be requested or otherwise triggered to perform.|Viewing an enterprise, system, or building block in terms of services provided and consumed.|See also 3.6 Architectural Style and 3.66 Service Orientation .|A collection of services, potentially an interface definition.|A description of a discrete and focused business operation or activity and how IS/IT supports that operation.|A candidate solution which conforms to the specification of an Architecture Building Block (ABB).|A part of the Enterprise Continuum. A repository of re-usable solutions for future implementation efforts. It contains implementations of the corresponding definitions in the Architecture Continuum.|An individual, team, organization, or class thereof, having an interest in a system.|A database of standards that can be used to define the particular services and other components of an Organization-Specific Architecture.|A summary formal description of the enterprise, providing an organizing framework for operational and change activity, and an executive-level, long-term view for direction setting.|The description of a future state of the architecture being developed for an organization.|The organized collection of all architecture views pertinent to an architecture.|A description of the structure and interaction of the technology services and technology components.|A technology building block. A generic infrastructure technology that supports and enables application or data components (directly or indirectly) by providing technology services.|An encapsulation of technology infrastructure that represents a class of technology product or specific technology product.|A technical capability required to provide enabling infrastructure that supports the delivery of applications.|A formal description of one state of the architecture at an architecturally significant point in time.|Where a view is "seen" from.|A representation of a system from the perspective of a related concern.|What is seen from a viewpoint|A representation of an end-to-end collection of value-adding activities that create an overall result for a customer, stakeholder, or end user.|A collection of the specifications of architecture viewpoints contained in the Reference Library portion of the Architecture Repository.|A set of actions identified to achieve one or more objectives for the business. A work package can be a part of a project, a complete project, or a program.		definition
Work Package	A set of actions identified to achieve one or more objectives for the business. A work package can be a part of a project, a complete project, or a program.	A statement of need that must be met by a particular architecture or work package.|An abstracted plan for business or technology change, typically operating across multiple disciplines over multiple years. Normally used in the phrases Technology Roadmap, Architecture Roadmap, etc.|The usual or expected function of an actor, or the part somebody or something plays in a particular action or event. An actor may have a number of roles.|The part an individual plays in an organization and the contribution they make through the application of their skills, knowledge, experience, and abilities.|A detailed, formal description of areas within an enterprise, used at the program or portfolio level to organize and align change activity.|A repeatable activity; a discrete behavior that a building block may be requested or otherwise triggered to perform.|Viewing an enterprise, system, or building block in terms of services provided and consumed.|See also 3.6 Architectural Style and 3.66 Service Orientation .|A collection of services, potentially an interface definition.|A description of a discrete and focused business operation or activity and how IS/IT supports that operation.|A candidate solution which conforms to the specification of an Architecture Building Block (ABB).|A part of the Enterprise Continuum. A repository of re-usable solutions for future implementation efforts. It contains implementations of the corresponding definitions in the Architecture Continuum.|An individual, team, organization, or class thereof, having an interest in a system.|A database of standards that can be used to define the particular services and other components of an Organization-Specific Architecture.|A summary formal description of the enterprise, providing an organizing framework for operational and change activity, and an executive-level, long-term view for direction setting.|The description of a future state of the architecture being developed for an organization.|The organized collection of all architecture views pertinent to an architecture.|A description of the structure and interaction of the technology services and technology components.|A technology building block. A generic infrastructure technology that supports and enables application or data components (directly or indirectly) by providing technology services.|An encapsulation of technology infrastructure that represents a class of technology product or specific technology product.|A technical capability required to provide enabling infrastructure that supports the delivery of applications.|A formal description of one state of the architecture at an architecturally significant point in time.|Where a view is "seen" from.|A representation of a system from the perspective of a related concern.|What is seen from a viewpoint|A representation of an end-to-end collection of value-adding activities that create an overall result for a customer, stakeholder, or end user.|A collection of the specifications of architecture viewpoints contained in the Reference Library portion of the Architecture Repository.|A set of actions identified to achieve one or more objectives for the business. A work package can be a part of a project, a complete project, or a program.		definition
Which of the following best describes why you need a framework for enterprise architecture?	All of the choices listed (above or below)	Architecture design is complex|Using a framework can speed up the process|Using a framework can ensure more complete coverage|A framework provides a set of tools and vocabulary		Concept
Which of the following is NOT a TOGAF core concept?	The Technical Reference Model	The Architecture Development Method|The Enterprise Continuum & Tools|The Technical Reference Model|The TOGAF Architecture Capability Framework		Concept
If all the features architects specification are implemented in accordance with the specification, but some features are implement that are not in accordance with it. 	Conformant|Non-Conformant	Irrelevant|Consistent|Complaint|Conformant|Fully Conformant|Non-Conformant		Tough
Which phase of the ADM phases is the initial phase?	Phase A	Preliminary Phase|Phase B|Phase C|Phase D|Phase E|Phase F|Phase G|Phase H|Requirements Management		ADM
In which phases does is the business scenario technique used most prominently?	Phase A|Architecture Vision	Preliminary Phase|Phase B|Phase C|Phase D|Phase E|Phase F|Phase G|Phase H|Requirements Management		ADM
Select the correct ADM phase and letter:	A: Architecture Vision|Phase D: Technology Architecture|B: Business Architecture|C: Information Systems Architecture|Phase E: Opportunities & Solutions|Phase F: Migration Planning|Phase G: Implementation Governance|Phase H: Architecture Change Management	A: Application Vision|A: Application Architecture|Phase D: Data Architecture|B: Implementation Governance|C: Computer Systems Architecture|C: Technology Architecture|C: Application Architecture|Phase E: Migration Planning|Phase F: Opportunities & Solutions|Phase G: Application Governance|Phase A: Architecture Change Management|Phase A: Application Governance|F: Business Planning		ADM
In TOGAF which is *not* a characteristic of governance:	Robust|Isolation|Resilience|Completeness|Succinct	Discipline|Transparency|Independence|Accountability|Responsibility|Fairness		ADM
Select an Objective of Phases A	Develop a high-level aspirational vision of the capabilities and business value to be delivered as a result of the proposed Enterprise Architecture|Obtain approval for a Statement of Architecture Work that defines a program of works to develop and deploy the architecture outlined in the Architecture Vision	Develop a high-level aspirational vision of the capabilities and business value to be delivered as a result of the proposed Enterprise Architecture|Obtain approval for a Statement of Architecture Work that defines a program of works to develop and deploy the architecture outlined in the Architecture Vision|Develop the Target Business Architecture that describes how the enterprise needs to operate to achieve the business goals, and respond to the strategic drivers set out in the Architecture Vision, in a way that addresses the Statement of Architecture Work and stakeholder concerns|Identify candidate Architecture Roadmap components based upon gaps between the Baseline and Target Business Architectures|Develop the Target Information Systems Architectures, describing how the enterprise's Information Systems Architecture will enable the Business Architecture and the Architecture Vision, in a way that addresses the Statement of Architecture Work and stakeholder concerns|Identify candidate Architecture Roadmap components based upon gaps between the Baseline and Target Information Systems (Data and Application) Architectures|Develop the Target Technology Architecture that enables the Architecture Vision, target business, data, and application building blocks to be delivered through technology components and technology services, in a way that addresses the Statement of Architecture Work and stakeholder concerns|Identify candidate Architecture Roadmap components based upon gaps between the Baseline and Target Technology Architectures|Generate the initial complete version of the Architecture Roadmap, based upon the gap analysis and candidate Architecture Roadmap components from the [BDAT Domain] Phase(s).|Determine whether an incremental approach is required, and if so identify Transition Architectures that will deliver continuous business value|Define the overall solution building blocks to finalize the Target Architecture based on the Architecture Building Blocks (ABBs)|Finalize the Architecture Roadmap and the supporting Implementation and Migration Plan|Ensure that the Implementation and Migration Plan is coordinated with the enterprise's approach to managing and implementing change in the enterprise's overall change portfolio|Ensure that the business value and cost of work packages and Transition Architectures is understood by key stakeholders|Ensure conformance with the Target Architecture by implementation projects|Perform appropriate Architecture Governance functions for the solution and any implementation-driven architecture Change Requests|Ensure that the architecture lifecycle is maintained|Ensure that the Architecture Governance Framework is executed|Ensure that the Enterprise Architecture Capability meets current requirements		ADM
Select an Objective of Phases B	Develop the Target Business Architecture that describes how the enterprise needs to operate to achieve the business goals, and respond to the strategic drivers set out in the Architecture Vision, in a way that addresses the Statement of Architecture Work and stakeholder concerns|Identify candidate Architecture Roadmap components based upon gaps between the Baseline and Target Business Architectures	Develop a high-level aspirational vision of the capabilities and business value to be delivered as a result of the proposed Enterprise Architecture|Obtain approval for a Statement of Architecture Work that defines a program of works to develop and deploy the architecture outlined in the Architecture Vision|Develop the Target Business Architecture that describes how the enterprise needs to operate to achieve the business goals, and respond to the strategic drivers set out in the Architecture Vision, in a way that addresses the Statement of Architecture Work and stakeholder concerns|Identify candidate Architecture Roadmap components based upon gaps between the Baseline and Target Business Architectures|Develop the Target Information Systems Architectures, describing how the enterprise's Information Systems Architecture will enable the Business Architecture and the Architecture Vision, in a way that addresses the Statement of Architecture Work and stakeholder concerns|Identify candidate Architecture Roadmap components based upon gaps between the Baseline and Target Information Systems (Data and Application) Architectures|Develop the Target Technology Architecture that enables the Architecture Vision, target business, data, and application building blocks to be delivered through technology components and technology services, in a way that addresses the Statement of Architecture Work and stakeholder concerns|Identify candidate Architecture Roadmap components based upon gaps between the Baseline and Target Technology Architectures|Generate the initial complete version of the Architecture Roadmap, based upon the gap analysis and candidate Architecture Roadmap components from the [BDAT Domain] Phase(s).|Determine whether an incremental approach is required, and if so identify Transition Architectures that will deliver continuous business value|Define the overall solution building blocks to finalize the Target Architecture based on the Architecture Building Blocks (ABBs)|Finalize the Architecture Roadmap and the supporting Implementation and Migration Plan|Ensure that the Implementation and Migration Plan is coordinated with the enterprise's approach to managing and implementing change in the enterprise's overall change portfolio|Ensure that the business value and cost of work packages and Transition Architectures is understood by key stakeholders|Ensure conformance with the Target Architecture by implementation projects|Perform appropriate Architecture Governance functions for the solution and any implementation-driven architecture Change Requests|Ensure that the architecture lifecycle is maintained|Ensure that the Architecture Governance Framework is executed|Ensure that the Enterprise Architecture Capability meets current requirements		ADM
Select an Objective of Phases C	Develop the Target Information Systems Architectures, describing how the enterprise's Information Systems Architecture will enable the Business Architecture and the Architecture Vision, in a way that addresses the Statement of Architecture Work and stakeholder concerns|Identify candidate Architecture Roadmap components based upon gaps between the Baseline and Target Information Systems (Data and Application) Architectures	Develop a high-level aspirational vision of the capabilities and business value to be delivered as a result of the proposed Enterprise Architecture|Obtain approval for a Statement of Architecture Work that defines a program of works to develop and deploy the architecture outlined in the Architecture Vision|Develop the Target Business Architecture that describes how the enterprise needs to operate to achieve the business goals, and respond to the strategic drivers set out in the Architecture Vision, in a way that addresses the Statement of Architecture Work and stakeholder concerns|Identify candidate Architecture Roadmap components based upon gaps between the Baseline and Target Business Architectures|Develop the Target Information Systems Architectures, describing how the enterprise's Information Systems Architecture will enable the Business Architecture and the Architecture Vision, in a way that addresses the Statement of Architecture Work and stakeholder concerns|Identify candidate Architecture Roadmap components based upon gaps between the Baseline and Target Information Systems (Data and Application) Architectures|Develop the Target Technology Architecture that enables the Architecture Vision, target business, data, and application building blocks to be delivered through technology components and technology services, in a way that addresses the Statement of Architecture Work and stakeholder concerns|Identify candidate Architecture Roadmap components based upon gaps between the Baseline and Target Technology Architectures|Generate the initial complete version of the Architecture Roadmap, based upon the gap analysis and candidate Architecture Roadmap components from the [BDAT Domain] Phase(s).|Determine whether an incremental approach is required, and if so identify Transition Architectures that will deliver continuous business value|Define the overall solution building blocks to finalize the Target Architecture based on the Architecture Building Blocks (ABBs)|Finalize the Architecture Roadmap and the supporting Implementation and Migration Plan|Ensure that the Implementation and Migration Plan is coordinated with the enterprise's approach to managing and implementing change in the enterprise's overall change portfolio|Ensure that the business value and cost of work packages and Transition Architectures is understood by key stakeholders|Ensure conformance with the Target Architecture by implementation projects|Perform appropriate Architecture Governance functions for the solution and any implementation-driven architecture Change Requests|Ensure that the architecture lifecycle is maintained|Ensure that the Architecture Governance Framework is executed|Ensure that the Enterprise Architecture Capability meets current requirements		ADM
Select an Objective of Phases D	Develop the Target Technology Architecture that enables the Architecture Vision, target business, data, and application building blocks to be delivered through technology components and technology services, in a way that addresses the Statement of Architecture Work and stakeholder concerns|Identify candidate Architecture Roadmap components based upon gaps between the Baseline and Target Technology Architectures	Develop a high-level aspirational vision of the capabilities and business value to be delivered as a result of the proposed Enterprise Architecture|Obtain approval for a Statement of Architecture Work that defines a program of works to develop and deploy the architecture outlined in the Architecture Vision|Develop the Target Business Architecture that describes how the enterprise needs to operate to achieve the business goals, and respond to the strategic drivers set out in the Architecture Vision, in a way that addresses the Statement of Architecture Work and stakeholder concerns|Identify candidate Architecture Roadmap components based upon gaps between the Baseline and Target Business Architectures|Develop the Target Information Systems Architectures, describing how the enterprise's Information Systems Architecture will enable the Business Architecture and the Architecture Vision, in a way that addresses the Statement of Architecture Work and stakeholder concerns|Identify candidate Architecture Roadmap components based upon gaps between the Baseline and Target Information Systems (Data and Application) Architectures|Develop the Target Technology Architecture that enables the Architecture Vision, target business, data, and application building blocks to be delivered through technology components and technology services, in a way that addresses the Statement of Architecture Work and stakeholder concerns|Identify candidate Architecture Roadmap components based upon gaps between the Baseline and Target Technology Architectures|Generate the initial complete version of the Architecture Roadmap, based upon the gap analysis and candidate Architecture Roadmap components from the [BDAT Domain] Phase(s).|Determine whether an incremental approach is required, and if so identify Transition Architectures that will deliver continuous business value|Define the overall solution building blocks to finalize the Target Architecture based on the Architecture Building Blocks (ABBs)|Finalize the Architecture Roadmap and the supporting Implementation and Migration Plan|Ensure that the Implementation and Migration Plan is coordinated with the enterprise's approach to managing and implementing change in the enterprise's overall change portfolio|Ensure that the business value and cost of work packages and Transition Architectures is understood by key stakeholders|Ensure conformance with the Target Architecture by implementation projects|Perform appropriate Architecture Governance functions for the solution and any implementation-driven architecture Change Requests|Ensure that the architecture lifecycle is maintained|Ensure that the Architecture Governance Framework is executed|Ensure that the Enterprise Architecture Capability meets current requirements		ADM
Select an Objective of Phases E	Generate the initial complete version of the Architecture Roadmap, based upon the gap analysis and candidate Architecture Roadmap components from the [BDAT Domain] Phase(s).|Determine whether an incremental approach is required, and if so identify Transition Architectures that will deliver continuous business value|Define the overall solution building blocks to finalize the Target Architecture based on the Architecture Building Blocks (ABBs)	Develop a high-level aspirational vision of the capabilities and business value to be delivered as a result of the proposed Enterprise Architecture|Obtain approval for a Statement of Architecture Work that defines a program of works to develop and deploy the architecture outlined in the Architecture Vision|Develop the Target Business Architecture that describes how the enterprise needs to operate to achieve the business goals, and respond to the strategic drivers set out in the Architecture Vision, in a way that addresses the Statement of Architecture Work and stakeholder concerns|Identify candidate Architecture Roadmap components based upon gaps between the Baseline and Target Business Architectures|Develop the Target Information Systems Architectures, describing how the enterprise's Information Systems Architecture will enable the Business Architecture and the Architecture Vision, in a way that addresses the Statement of Architecture Work and stakeholder concerns|Identify candidate Architecture Roadmap components based upon gaps between the Baseline and Target Information Systems (Data and Application) Architectures|Develop the Target Technology Architecture that enables the Architecture Vision, target business, data, and application building blocks to be delivered through technology components and technology services, in a way that addresses the Statement of Architecture Work and stakeholder concerns|Identify candidate Architecture Roadmap components based upon gaps between the Baseline and Target Technology Architectures|Generate the initial complete version of the Architecture Roadmap, based upon the gap analysis and candidate Architecture Roadmap components from the [BDAT Domain] Phase(s).|Determine whether an incremental approach is required, and if so identify Transition Architectures that will deliver continuous business value|Define the overall solution building blocks to finalize the Target Architecture based on the Architecture Building Blocks (ABBs)|Finalize the Architecture Roadmap and the supporting Implementation and Migration Plan|Ensure that the Implementation and Migration Plan is coordinated with the enterprise's approach to managing and implementing change in the enterprise's overall change portfolio|Ensure that the business value and cost of work packages and Transition Architectures is understood by key stakeholders|Ensure conformance with the Target Architecture by implementation projects|Perform appropriate Architecture Governance functions for the solution and any implementation-driven architecture Change Requests|Ensure that the architecture lifecycle is maintained|Ensure that the Architecture Governance Framework is executed|Ensure that the Enterprise Architecture Capability meets current requirements		ADM
Select an Objective of Phases F	Finalize the Architecture Roadmap and the supporting Implementation and Migration Plan|Ensure that the Implementation and Migration Plan is coordinated with the enterprise's approach to managing and implementing change in the enterprise's overall change portfolio|Ensure that the business value and cost of work packages and Transition Architectures is understood by key stakeholders	Develop a high-level aspirational vision of the capabilities and business value to be delivered as a result of the proposed Enterprise Architecture|Obtain approval for a Statement of Architecture Work that defines a program of works to develop and deploy the architecture outlined in the Architecture Vision|Develop the Target Business Architecture that describes how the enterprise needs to operate to achieve the business goals, and respond to the strategic drivers set out in the Architecture Vision, in a way that addresses the Statement of Architecture Work and stakeholder concerns|Identify candidate Architecture Roadmap components based upon gaps between the Baseline and Target Business Architectures|Develop the Target Information Systems Architectures, describing how the enterprise's Information Systems Architecture will enable the Business Architecture and the Architecture Vision, in a way that addresses the Statement of Architecture Work and stakeholder concerns|Identify candidate Architecture Roadmap components based upon gaps between the Baseline and Target Information Systems (Data and Application) Architectures|Develop the Target Technology Architecture that enables the Architecture Vision, target business, data, and application building blocks to be delivered through technology components and technology services, in a way that addresses the Statement of Architecture Work and stakeholder concerns|Identify candidate Architecture Roadmap components based upon gaps between the Baseline and Target Technology Architectures|Generate the initial complete version of the Architecture Roadmap, based upon the gap analysis and candidate Architecture Roadmap components from the [BDAT Domain] Phase(s).|Determine whether an incremental approach is required, and if so identify Transition Architectures that will deliver continuous business value|Define the overall solution building blocks to finalize the Target Architecture based on the Architecture Building Blocks (ABBs)|Finalize the Architecture Roadmap and the supporting Implementation and Migration Plan|Ensure that the Implementation and Migration Plan is coordinated with the enterprise's approach to managing and implementing change in the enterprise's overall change portfolio|Ensure that the business value and cost of work packages and Transition Architectures is understood by key stakeholders|Ensure conformance with the Target Architecture by implementation projects|Perform appropriate Architecture Governance functions for the solution and any implementation-driven architecture Change Requests|Ensure that the architecture lifecycle is maintained|Ensure that the Architecture Governance Framework is executed|Ensure that the Enterprise Architecture Capability meets current requirements		ADM
